Country,revenue,return_amount,orders,customers
"United Kingdom",40854286.12,0.00,18113,3921
"Netherlands",1296452.56,0.00,94,9
"EIRE",1208200.21,0.00,261,3
"Germany",1013237.87,0.00,457,94
"France",922665.98,0.00,390,87
"Australia",653093.97,0.00,60,9
"Spain",301697.48,0.00,85,28
"Switzerland",250762.04,0.00,52,20
"Belgium",184057.10,0.00,98,24
"Sweden",174881.76,0.00,36,8
"Norway",164745.38,0.00,36,10
"Japan",159762.72,0.00,20,8
"Portugal",149317.30,0.00,57,19
"Finland",112896.08,0.00,41,12
"Channel Islands",91401.40,0.00,26,9
"Singapore",90582.20,0.00,7,1
"Denmark",85902.88,0.00,18,8
"Italy",77876.20,0.00,38,14
"Cyprus",65678.36,0.00,19,7
"Austria",42906.88,0.00,15,9
"Israel",34080.00,0.00,5,3
"Poland",31596.88,0.00,19,6
"Greece",20449.92,0.00,5,4
"Iceland",17808.88,0.00,7,1
"USA",16622.08,0.00,5,4
"Canada",15407.60,0.00,6,4
"Unspecified",12991.64,0.00,8,4
"Malta",11399.96,0.00,5,2
"Lithuania",8242.30,0.00,4,1
"United Arab Emirates",8216.32,0.00,3,2
"Lebanon",6876.32,0.00,1,1
"European Community",5311.00,0.00,4,1
"RSA",5101.72,0.00,1,1
"Brazil",4574.40,0.00,1,1
"Czech Republic",3466.32,0.00,2,1
"Bahrain",2193.60,0.00,2,2
"Saudi Arabia",583.68,0.00,1,1
