CustomerID,Country,Total_revenue,Orders
0,"United Kingdom",7671010.39,571046
12346,"United Kingdom",308734.40,4
12347,"Iceland",17808.88,756
12348,"Finland",7443.36,132
12349,"Italy",8171.08,340
12350,"Norway",1337.60,68
12352,"Norway",10143.56,348
12353,"Bahrain",356.00,16
12354,"Spain",4833.12,256
12355,"Bahrain",1837.60,52
12356,"Portugal",11855.32,248
12357,"Switzerland",26900.60,560
12358,"Austria",4732.24,80
12359,"Cyprus",29068.92,1148
12360,"Austria",11715.84,560
12361,"Belgium",825.60,44
12362,"Belgium",23558.32,1216
12363,"Unspecified",3189.12,112
12364,"Belgium",5395.80,352
12365,"Cyprus",2565.52,88
12367,"Denmark",675.60,44
12370,"Cyprus",15869.96,704
12371,"Switzerland",7797.84,264
12372,"Denmark",5369.76,224
12373,"Austria",1458.40,56
12374,"Austria",3041.32,136
12375,"Finland",2362.00,92
12377,"Switzerland",7189.28,332
12378,"Switzerland",18019.52,976
12379,"Belgium",3815.44,184
12380,"Belgium",12347.32,492
12381,"Norway",7815.64,376
12383,"Belgium",7838.72,424
12384,"Switzerland",2441.88,112
12386,"Australia",1727.60,44
12388,"Australia",12675.20,460
12390,"Belgium",2805.36,160
12391,"Cyprus",2205.92,456
12393,"Australia",7663.20,308
12394,"Belgium",5289.12,116
12395,"Belgium",13473.10,692
12397,"Belgium",11005.08,584
12398,"Switzerland",7267.52,392
12399,"Belgium",5390.48,280
12401,"Belgium",337.20,20
12402,"Belgium",980.40,48
12403,"Denmark",3238.00,32
12405,"Finland",7179.48,228
12406,"Denmark",17805.72,504
12407,"Belgium",7025.68,320
12408,"Belgium",12598.04,472
12409,"Switzerland",52097.68,492
12410,"Switzerland",2773.32,104
12412,"Denmark",6176.48,296
12413,"France",3032.40,152
12414,"Austria",2249.64,72
12415,"Australia",585617.92,3256
12417,"Belgium",16254.08,864
12418,"Switzerland",3151.32,156
12420,"Cyprus",2874.84,148
12421,"Spain",3408.16,188
12422,"Australia",3346.24,164
12423,"Belgium",8053.48,536
12424,"Australia",8581.04,140
12425,"Portugal",3630.24,160
12426,"Germany",2540.32,132
12427,"Germany",4010.90,154
12428,"Finland",34193.68,1264
12429,"Denmark",16895.52,428
12430,"Norway",1071.20,48
12431,"Australia",28118.13,1050
12432,"Norway",21776.88,464
12433,"Norway",62787.10,1929
12434,"Australia",3799.24,228
12435,"Denmark",34134.76,152
12436,"Norway",2264.64,72
12437,"France",20823.80,852
12438,"Norway",13181.80,440
12441,"France",694.20,44
12442,"Spain",688.24,48
12444,"Norway",21846.24,768
12445,"Spain",603.20,20
12446,"RSA",5101.72,284
12447,"Belgium",1905.96,104
12448,"Spain",1797.80,88
12449,"Belgium",18416.12,848
12450,"Spain",1573.92,56
12451,"Switzerland",39211.44,1552
12452,"Switzerland",1855.08,96
12453,"Austria",3438.44,208
12454,"Spain",17584.24,76
12455,"Cyprus",12272.40,432
12456,"Switzerland",14006.64,556
12457,"Switzerland",10532.04,296
12458,"Switzerland",3852.80,156
12461,"Switzerland",3348.32,144
12462,"Spain",5069.16,268
12463,"Belgium",6145.68,380
12464,"Belgium",6008.40,136
12465,"Belgium",3075.96,196
12468,"Germany",3235.16,172
12471,"Germany",85717.96,2088
12472,"Germany",31355.36,1632
12473,"Germany",16926.92,728
12474,"Germany",32451.64,1876
12475,"Germany",3428.12,168
12476,"Germany",31877.76,1056
12477,"Germany",55972.40,1304
12478,"Greece",3116.76,168
12479,"Germany",2268.80,132
12480,"Germany",14916.76,716
12481,"Germany",28659.20,1060
12483,"Sweden",10854.32,332
12484,"Spain",19414.40,1492
12488,"France",5516.64,232
12489,"France",1339.72,60
12490,"France",23904.52,1076
12491,"France",2147.20,120
12492,"Germany",1172.84,88
12493,"France",2064.96,108
12494,"France",6016.88,364
12497,"Germany",5008.80,64
12498,"Germany",1614.80,92
12500,"Germany",20122.96,276
12501,"Germany",9475.64,640
12502,"Spain",15722.88,632
12504,"Germany",2823.80,52
12506,"France",297.40,96
12507,"Spain",5687.24,96
12508,"France",1753.20,300
12509,"France",706.00,28
12510,"Spain",4009.48,136
12512,"Israel",637.32,164
12513,"France",2515.16,144
12514,"Italy",4274.72,216
12515,"Italy",1534.80,64
12516,"Germany",5421.84,112
12517,"Germany",10671.48,1208
12518,"Germany",9198.44,560
12519,"Germany",1423.36,76
12520,"Germany",11574.72,664
12521,"Germany",2841.28,188
12522,"Germany",770.88,48
12523,"France",8574.48,528
12524,"Germany",19358.80,628
12526,"Germany",6024.64,316
12527,"Germany",1394.84,72
12528,"Germany",8224.12,396
12530,"Germany",7342.48,296
12531,"Germany",500.88,68
12532,"France",1459.32,68
12534,"Germany",4698.72,280
12535,"France",2985.40,144
12536,"France",51459.60,1100
12538,"Spain",1911.80,108
12539,"Spain",23492.00,1160
12540,"Spain",58015.08,2084
12541,"Spain",4320.72,228
12544,"Spain",1690.00,84
12545,"Spain",4111.96,208
12546,"Spain",4778.80,284
12547,"Spain",831.20,32
12548,"Spain",380.80,20
12550,"Spain",4169.12,248
12551,"Spain",750.00,44
12552,"Italy",1830.48,84
12553,"France",16466.72,856
12556,"Spain",2957.28,572
12557,"Spain",89493.64,211
12558,"USA",1484.00,60
12559,"Germany",2378.84,92
12560,"Germany",10194.56,516
12561,"Germany",955.40,64
12562,"France",17456.96,788
12564,"France",1893.60,88
12565,"Saudi Arabia",583.68,36
12566,"Germany",1599.40,88
12567,"France",42514.28,2041
12569,"Germany",18224.68,832
12571,"France",2119.24,140
12572,"Germany",4257.60,256
12573,"France",781.72,124
12574,"France",873.80,44
12576,"Poland",5647.32,376
12577,"France",2914.68,648
12578,"Italy",12369.64,516
12579,"France",1803.68,120
12580,"Germany",1900.40,108
12581,"Germany",790.84,60
12582,"Finland",2099.52,92
12583,"France",33533.54,1105
12584,"Italy",10804.40,432
12585,"Germany",9182.40,384
12586,"Italy",858.56,48
12587,"Finland",576.00,16
12588,"Finland",859.60,40
12589,"France",2637.12,144
12590,"Germany",45312.24,308
12591,"Italy",2013.40,120
12592,"Germany",1844.00,76
12593,"France",1672.40,84
12594,"Italy",14573.28,504
12596,"Spain",2577.08,116
12597,"Spain",17566.96,960
12598,"France",13309.92,588
12599,"France",4310.32,252
12600,"Germany",10547.54,262
12601,"Germany",2308.24,112
12602,"France",755.68,60
12603,"Germany",2956.80,8
12604,"France",1016.72,64
12607,"USA",6857.64,436
12609,"Germany",5015.00,272
12610,"Italy",9501.36,496
12611,"Italy",5132.84,288
12612,"Germany",2816.16,76
12613,"Germany",15093.64,696
12614,"Germany",1262.40,80
12615,"France",9505.40,440
12616,"France",2893.20,132
12617,"France",1514.92,184
12618,"Italy",750.04,48
12619,"Germany",16002.96,380
12620,"France",6072.28,408
12621,"Germany",60625.88,2092
12622,"Germany",761.20,48
12623,"Germany",1299.60,76
12624,"France",2725.32,160
12625,"Germany",12558.64,408
12626,"Germany",28754.56,1268
12627,"Germany",20151.92,1032
12628,"Germany",3577.36,184
12630,"Finland",5415.92,272
12631,"Finland",3657.68,184
12633,"Germany",8942.40,424
12635,"Germany",8010.72,472
12637,"France",25506.52,1704
12638,"Sweden",2739.56,160
12639,"Sweden",2156.40,104
12640,"France",5025.32,228
12641,"Sweden",804.80,44
12642,"Germany",4053.04,188
12643,"France",13378.56,96
12644,"Germany",2303.04,144
12645,"Germany",7602.72,324
12646,"USA",6566.44,220
12647,"Germany",17046.53,562
12648,"Germany",1405.00,92
12649,"Germany",2625.44,132
12650,"France",1257.76,80
12651,"France",456.00,36
12652,"France",3821.52,200
12653,"Israel",12155.24,212
12654,"Germany",2558.72,164
12656,"France",18031.08,572
12657,"France",7038.32,212
12658,"Germany",3208.60,172
12659,"France",486.72,28
12660,"France",980.40,52
12662,"Germany",16788.88,1004
12664,"Finland",36753.04,236
12665,"Germany",372.00,16
12667,"Finland",2551.32,136
12668,"Germany",16645.24,700
12669,"France",11157.32,416
12670,"France",12830.20,396
12672,"France",903.60,40
12673,"Germany",2476.08,172
12674,"France",8872.40,364
12676,"Sweden",5325.56,180
12678,"France",88005.04,756
12679,"France",5754.00,224
12680,"France",3716.84,224
12681,"France",59701.20,2788
12682,"France",57131.34,2473
12683,"France",37703.08,1580
12684,"France",9359.32,432
12685,"France",13681.20,740
12686,"France",445.70,35
12688,"Israel",21287.44,756
12689,"France",5335.64,312
12690,"France",1688.04,72
12691,"France",5245.60,148
12693,"Germany",3928.04,184
12694,"France",3478.68,148
12695,"France",2447.20,116
12697,"Sweden",4400.72,196
12700,"France",23075.96,1248
12701,"Germany",3541.08,240
12702,"Germany",876.00,48
