month,Total_revenue,return_amount,orders,customers
2010-12,3735241.27,0.00,186616,886
2011-01,3016813.88,0.00,145432,742
2011-02,2261892.56,0.00,115724,759
2011-03,3085846.84,0.00,152816,975
2011-04,2356169.92,0.00,125244,857
2011-05,3521173.52,0.00,161696,1057
2011-06,3603919.60,0.00,161696,992
2011-07,3319054.48,0.00,172868,950
2011-08,3466547.84,0.00,155000,936
2011-09,4778983.64,0.00,221276,1267
2011-10,5300081.56,0.00,267284,1365
2011-11,6875025.20,0.00,371124,1665
2011-12,2784576.80,0.00,110756,616
