ProductID,Product_name,units_sold,revenue,units_return,return_value
1041,"VINTAGE SHELLS PRINT",201,1722.56,0,0.00
616,"LARGE ROUND WICKER PLATTER ",782,4712.79,0,0.00
40,"RED TOADSTOOL LED NIGHT LIGHT",56628,96563.28,0,0.00
1040,"SWEET PUDDING STICKER SHEET",405,393.98,0,0.00
1039,"CANDY SHOP  STICKER SHEET",805,739.90,0,0.00
437,"BOYS VINTAGE TIN SEASIDE BUCKET",5778,15693.09,0,0.00
387,"FOLDING UMBRELLA RED/WHITE POLKADOT",1393,6522.23,0,0.00
1038,"BAG 250g SWIRLY MARBLES",20592,16173.15,0,0.00
1037,"BAG 125g SWIRLY MARBLES",37767,14202.93,0,0.00
1036,"SKULLS  STICKERS",4607,4156.70,0,0.00
673,"VINTAGE GLASS COFFEE CADDY",347,2258.89,0,0.00
676,"GLASS  BEURRE DISH",3537,14955.95,0,0.00
1035,"ASSORTED TUTTI FRUTTI KEYRING BALL",4613,1808.02,0,0.00
1034,"ASSORTED MINI MADRAS NOTEBOOK",3905,1930.31,0,0.00
534,"SAVE THE PLANET COTTON TOTE BAG",2900,6715.84,0,0.00
1033,"PINK  HEART SHAPE LOVE BUCKET ",4172,7344.20,0,0.00
1032,"RED HEART SHAPE LOVE BUCKET ",5592,11253.84,0,0.00
68,"STRAWBERRY LUNCH BOX WITH CUTLERY",15784,39081.65,0,0.00
111,"DOORMAT FANCY FONT HOME SWEET HOME",13051,86922.43,0,0.00
1031,"ELEPHANT, BIRTHDAY CARD, ",13413,5734.37,0,0.00
3688,"ELEPHANT BIRTHDAY CARD ",13413,5734.37,0,0.00
550,"RED WHITE SCARF  HOT WATER BOTTLE",294,2399.06,0,0.00
562,"PINK HEART DOTS HOT WATER BOTTLE",162,663.62,0,0.00
198,"CHICK GREY HOT WATER BOTTLE",7636,34638.37,0,0.00
214,"WHITE SKULL HOT WATER BOTTLE ",15914,83632.44,0,0.00
761,"RED GINGHAM ROSE JEWELLERY BOX",7136,13878.61,0,0.00
1030,"SPOTTY PINK DUCK DOORSTOP",1162,5219.00,0,0.00
1029,"BROWN CHECK CAT DOORSTOP ",1163,5705.63,0,0.00
1028,"IVORY HANGING DECORATION  HEART",15606,13834.32,0,0.00
1027,"MIRRORED WALL ART TABLE LAMP",302,439.86,0,0.00
1026,"MIRRORED WALL ART SPLODGES",406,657.33,0,0.00
1025,"MIRRORED WALL ART PHOTO FRAMES",357,1889.15,0,0.00
1024,"MIRRORED WALL ART STARS",1459,1811.97,0,0.00
1023,"TOAST ITS - BEST MUM",3233,4075.95,0,0.00
1022,"EUCALYPTUS & PINECONE  WREATH",1525,6125.23,0,0.00
1021,"IVY HEART WREATH",80,710.50,0,0.00
224,"BALLOONS  WRITING SET ",5410,9762.83,0,0.00
521,"SKULLS WRITING SET ",3472,5980.02,0,0.00
199,"SMALL GLASS HEART TRINKET POT",17127,39532.75,0,0.00
1020,"GLASS HEART T-LIGHT HOLDER ",13380,11665.59,0,0.00
1019,"WHITE GOOSE FEATHER CHRISTMAS TREE ",1350,5044.44,0,0.00
57,"VICTORIAN SEWING BOX LARGE",2216,31871.62,0,0.00
1018,"WOODLAND  HEIGHT CHART STICKERS ",2911,8693.13,0,0.00
1017,"RED RETROSPOT CUP",15896,13975.66,0,0.00
209,"STRAWBERRY CERAMIC TRINKET BOX",48130,66032.32,0,0.00
3960,"STRAWBERRY CERAMIC TRINKET POT",48130,66032.32,0,0.00
1016,"SWEETHEART CERAMIC TRINKET BOX",24346,30653.04,0,0.00
969,"RED SPOTTY BISCUIT TIN",9754,40595.66,0,0.00
1015,"RED RETROSPOT ROUND CAKE TINS",4376,46351.12,0,0.00
1014,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8569,45814.80,0,0.00
285,"PACK OF 72 SKULL CAKE CASES",60837,33796.50,0,0.00
70,"PACK OF 72 RETROSPOT CAKE CASES",146639,85635.13,0,0.00
314,"SET OF 72 RETROSPOT PAPER  DOILIES",23305,33590.46,0,0.00
1013,"SKULL AND CROSSBONES  GARLAND ",4288,6775.82,0,0.00
1012,"PINK  HONEYCOMB PAPER BALL ",2784,5272.10,0,0.00
1011,"LARGE WHITE HONEYCOMB PAPER BELL  ",2263,5866.21,0,0.00
1010,"WHITE HONEYCOMB PAPER GARLAND ",1424,3568.12,0,0.00
93,"GIN + TONIC DIET METAL SIGN",48924,108361.45,0,0.00
4033,"GIN AND TONIC DIET METAL SIGN",48924,108361.45,0,0.00
1009,"POTTERING IN THE SHED METAL SIGN",16740,37720.16,0,0.00
91,"YOU'RE CONFUSING ME METAL SIGN ",17732,29349.84,0,0.00
92,"COOK WITH WINE METAL SIGN ",41502,83931.56,0,0.00
1008,"BEWARE OF THE CAT METAL SIGN ",16651,27817.07,0,0.00
1007,"MOODY GIRL DOOR HANGER ",5913,3165.66,0,0.00
451,"RED RETROSPOT OVEN GLOVE ",16380,25561.67,0,0.00
1006,"JINGLE BELLS TREE DECORATION",818,1676.91,0,0.00
480,"SET/10 RED POLKADOT PARTY CANDLES",26620,32249.22,0,0.00
352,"OWL DOORSTOP",2790,16274.26,0,0.00
151,"ROSE CARAVAN DOORSTOP",2269,12740.79,0,0.00
266,"FAIRY CAKE FLANNEL ASSORTED COLOUR",41065,72477.53,0,0.00
623,"CREAM SLICE FLANNEL PINK SPOT ",3746,10347.66,0,0.00
611,"CHRISTMAS TOILET ROLL",15080,20713.57,0,0.00
172,"SET/20 RED RETROSPOT PAPER NAPKINS ",53123,45518.56,0,0.00
51,"VINTAGE BILLBOARD DRINK ME MUG",4117,5699.17,0,0.00
1005,"VINTAGE BILLBOARD MUG ",4442,4764.94,0,0.00
1004,"VINTAGE BILLBOARD TEA MUG",7826,9042.10,0,0.00
52,"VINTAGE BILLBOARD LOVE/HATE MUG",6662,7683.10,0,0.00
603,"RED RETROSPOT OVEN GLOVE DOUBLE",3710,15727.06,0,0.00
34,"SET/2 RED RETROSPOT TEA TOWELS ",10453,34341.07,0,0.00
1003,"ANTIQUE ALL GLASS CANDLESTICK",4707,10530.73,0,0.00
1002,"ROSE DU SUD COSMETICS BAG",389,1463.72,0,0.00
1001,"JAZZ HEARTS ADDRESS BOOK",12777,2910.68,0,0.00
257,"JAZZ HEARTS PURSE NOTEBOOK",17829,7885.30,0,0.00
1000,"12 PENCILS TALL TUBE WOODLAND",7930,6992.80,0,0.00
999,"12 PENCILS SMALL TUBE RED RETROSPOT",26736,17681.43,0,0.00
630,"12 PENCIL SMALL TUBE WOODLAND",18145,12954.47,0,0.00
602,"PINK CREAM FELT CRAFT TRINKET BOX ",29538,36754.78,0,0.00
998,"PINK BLUE FELT CRAFT TRINKET BOX",44233,55613.81,0,0.00
997,"RED FLORAL FELTCRAFT SHOULDER BAG",7868,29030.46,0,0.00
248,"SANDWICH BATH SPONGE",2920,4165.10,0,0.00
249,"APPLE BATH SPONGE",5491,7834.73,0,0.00
250,"STRAWBERRY BATH SPONGE ",5058,7149.26,0,0.00
996,"PORCELAIN T-LIGHT HOLDERS ASSORTED",3325,4637.37,0,0.00
292,"SET/5 RED RETROSPOT LID GLASS BOWLS",25677,74078.99,0,0.00
